verdict	rooms	location	evidence
CLEAR	2407	Wehnimer's Landing	Wehnimer's Landing (94% of 800)
CLEAR	652	Mist Harbor	Mist Harbor / Four Winds Isle (99% of 1034)
CLEAR	419	Icemule Trace	Icemule Trace (100% of 935)
CLEAR	372	Solhaven	Solhaven / Vornavis (99% of 892)
CLEAR	338	Ta'Vaalor	Ta'Vaalor (100% of 581)
CLEAR	293	the Upper Trollfang	QUEST: Black Swan Castle (100% of 120)
CLEAR	281	Evermore Hollow	QUEST: Ebon Gate Festival (100% of 475)
CLEAR	253	Ta'Illistim	Ta'Illistim (100% of 903)
CLEAR	240	Bloodriven Village	EVENT: Duskruin Arena/Bloodriven Village (99% of 101)
CLEAR	240	the Graveyard	Wehnimer's Landing (100% of 38)
CLEAR	213	the Coastal Cliffs	Wehnimer's Landing (100% of 25)
NONE	211	Grawood Farmstead outside of River's Rest	
CLEAR	211	Rumor Woods	QUEST: Summit Academy (100% of 143)
CLEAR	198	the Pinefar Trading Post	Pinefar / Aenatumgana (100% of 56)
NONE	189	the sewers of Bloodriven Village	
NONE	186	Revel of the Anfelt	
NONE	186	the Isle of Ornath	
CLEAR	171	the foothills of Zeltoph	Caravan Route Transport (100% of 18)
CLEAR	169	the catacombs	Ta'Vaalor (100% of 41)
NONE	156	the Lysierian Hills	
NONE	155	the Settlement of Reim	
NONE	121	Stone Valley	
NONE	114	The Hidden Plateau	
NONE	113	Village of Velathae	
NONE	108	Glatoph	
CLEAR	102	River's Rest	River's Rest / Torre (100% of 426)
CLEAR	94	somewhere on the Great Western Sea	QUEST: Troubled Waters (100% of 39)
NONE	78	the bay	
NONE	73	the crystal caves	
CLEAR	70	Kraken's Fall	Kraken's Fall (100% of 335)
NONE	67	Willow Hall	
NONE	66	Castle Anwyn	
NONE	66	Rone Academy	
CLEAR	65	Kharam-Dzu	Teras / Kharam Dzu (100% of 355)
NONE	63	the old Mine Road	
NONE	59	Luinne Bheinn	
NONE	58	the Lower Trollfang	
NONE	58	the Upper Dragonsclaw	
NONE	57	the bowels of Thanatoph	
CLEAR	56	the Lower Dragonsclaw	Wehnimer's Landing (100% of 67)
NONE	54	Ships	
NONE	53	Northern Steppes	
NONE	51	between Wehnimer's Landing and Zul Logoth	
NONE	50	the Slope	
NONE	50	the Wolves' Den	
NONE	49	Liath Bheinn and Aillidh Brae	
NONE	49	Noralgar Forest	
NONE	48	the Temple of Love	
NONE	47	Nyessem	
NONE	47	the Krag slopes	
NONE	44	the Abandoned Inn	
NONE	42	the smuggling tunnels	
NONE	40	Melgorehn's Valley	
CLEAR	40	the dark woods	Ta'Illistim (100% of 12)
NONE	38	the Vipershroud	
CLEAR	37	Darkstone Castle	Talador (100% of 222)
CLEAR	37	Zul Logoth	Zul Logoth / Kharag 'doth Dzulthu (100% of 584)
NONE	37	the Spider Temple	
NONE	36	the dark caverns	
NONE	35	the Feymist Cemetery	
NONE	35	the northern slopes of Wehntoph	
CLEAR	33	Bleaklands	Talador (100% of 1)
CLEAR	32	Duskruin Arena	EVENT: Duskruin Arena/Bloodriven Village (100% of 54)
