# Room groups the Official 117 areas do not cover.
# Regenerate with: cargo run -p cena-map-layout --example area_triage
#
# Fill `verdict`: place | building | split      (blank = undecided)
#   place    = ONE area, kept whole. The group is a single place, and any
#              stray prefixes are its furniture.
#   building = rooms of a building; attaches to the area named in `touches`.
#   split    = several places welded into one group by the interior-doorway
#              grouping. NOT an assignment: it needs breaking up first, and
#              the pieces are usually a MIX rather than peer areas -- the
#              192-room group holding Ta'Illistim Keep and the Moonglae Inn
#              is most likely one place and one building of taillistim-town.
#              Prefix is the visible signal but not a reliable rule: the
#              prefix-pieces were each internally connected in only 19 of
#              the 45 groups tried.
#   skip     = GONE. Removed from the game and never drawn, so it needs no
#              area at all. `closed` is NOT skipped: closed means draw but
#              do not route, so Rumor Woods still needs an area to be drawn
#              in when it opens in April.
#
# The `place` and `building` rows are already in curation/areas.toml.
#
# `doorway` counts real front doors into `touches`: an indoor room here
# opening onto an outdoor room there. A `building` needs at least one.
# Adjacency alone is not belonging -- a Krolvin Warship touches
# wehnimers-landing-danjirland by one exit, has no doorway, and is an Open
# Sea Adventures ship instance rather than a building in Danjirland.
#
# `prefixes` of one or two rooms are ignored when deciding `split`.
#
verdict	rooms	indoor	outdoor	doorway	touches	locations	prefixes
skip	662	12	650	0	wehnimers-landing-town (1)	The Miasmic Verge (458); the Feywrot Mire (159)	Miasmic Verge (458); Feywrot Mire (91); Feymist Cemetery (21); Halfway Midway (18); Rumrunners' Tavern (10)
skip	582	442	140	0		Caligos Isle (487); the Feywrot Mire (76)	Caligos Isle (147); Necropolis (66); Underground (13); Whip and Wight Inn (13); Damsel of the Deep (10)
split	423	298	125	0		Rumor Woods (353); Summit Academy (59)	Rumor Woods (56); Summit Academy (13); Sylinar's Spire (12); Ostwicke Hall (10); Cysaelotar (9)
split	294	273	21	36	isle-of-the-four-winds-mist-harbor-town (36)	Mist Harbor (243); the Isle of Four Winds (36)	Firefly Villa (44); Annex (35); Atrium (30); Rogue Guild (19); Mist Harbor Proper (16)
split	222	73	149	0		Glaoveln (215); Aboard an Airship (7)	Glaeve (51); Glaoveln (29); Grim Sands (24); Scrimshaw Cliffs (20); The Raider's Take (14)
place	210	50	160	0		Grawood Farmstead outside of River's Rest (210)	Grawood Farmstead (154); Smarten Up (4); The Write Stop (4); Beezer's Barn (3); Broken Wheel Distillery (3)
split	192	181	11	28	taillistim-town (28); elven-nations-sylvarraend-town (2)	Ta'Illistim (77); the Lost Home (59)	Ta'Illistim Keep (31); Moonglae Inn (28); A Stone Chamber (12); Lounge Lockers (12); Meazernis Villa (9)
split	183	183	0	0		Revel of the Anfelt (183)	Ruby Level (16); Crystal Level (14); Emerald Level (14); Topaz Level (12); Big Things (5)
split	168	166	2	2	wehnimers-landing-town (2)	Talador (150); the Feywrot Mire (11)	Lich's Landing (32); Lich Citadel (31); Barracks (25); Banshee Tower (15); Blacksmith (15)
split	150	114	36	0	wehnimers-landing-town (2)	Wehnimer's Landing (87); the bay (63)	Spitfire (44); Darkstone Bay (11); Furrfoot's (7); Swords 'n Boards (5); Sea Dogs Of War (4)
split	145	142	3	27	krakens-fall-town (27); krakens-fall-widowmakers-road (1)	Kraken's Fall (145)	Inking Den (24); Annex (17); House Annex (16); Molskroen Hall (12); The Sea Hag's Roost (9)
